id,artist,track,album_id,imgUrl
5gowWvRhA5TA0rncJ5xH38,King Crimson,"Nuages (That Which Passes, Passes Like Clouds)",0lsSMm3rM4AQ3m9W9E8zU5,https://i.scdn.co/image/ab67616d0000485193f06a68893068838f7f9007
6eDApnV9Jdb1nYahOlbbUh,King Crimson,One Time,1rG5TDs3jYh6OU753I54CI,https://i.scdn.co/image/ab67616d000048517c3bb9f74a98f60bdda6c9a7
7wWmC06ddcnPaJgKGtuNhP,King Crimson,Model Man,0lsSMm3rM4AQ3m9W9E8zU5,https://i.scdn.co/image/ab67616d0000485193f06a68893068838f7f9007
0eHRiORRpK1WCkIoWHPLXx,King Crimson,Lady of the Dancing Water,7b8t2K8fvaZseDqeo19eGJ,https://i.scdn.co/image/ab67616d00004851ad5ef97dff124ecb34ae823d
5iJ4DB9dhWmYNrHEEenpSw,King Crimson,Eyes Wide Open,3Sags1sVK0ynALAsA9gPTQ,https://i.scdn.co/image/ab67616d00004851b17e6fe9a59f8876adb9f90b
2uvcrYDLTIUoqZ3ddg6Oew,King Crimson,Three of a Perfect Pair,0lsSMm3rM4AQ3m9W9E8zU5,https://i.scdn.co/image/ab67616d0000485193f06a68893068838f7f9007
7M57Cwx9mYKatbEikEK7xz,King Crimson,The Talking Drum,4VKzYj7REUxkP1VXTdvSoV,https://i.scdn.co/image/ab67616d00004851a3580595cf9ef6ef46ba1566
1B0cZZLVgAxDYzMNnsZDuF,King Crimson,Book Of Saturday,4VKzYj7REUxkP1VXTdvSoV,https://i.scdn.co/image/ab67616d00004851a3580595cf9ef6ef46ba1566
0SW6NfA6MTCC6OWNt6SAkV,King Crimson,Dinosaur,79mbvKfi98UWcUnZvLnAID,https://i.scdn.co/image/ab67616d000048513173b49224c2da42444570c6
4xGvjkWNIQLxfwDaor0OUd,King Crimson,The Night Watch,2Eaep5bQ8I6ygLtzVJ2CWz,https://i.scdn.co/image/ab67616d00004851fe02f6f7491e86036f2c246c
4QbpagjMCqSECj6IimTL2n,King Crimson,I Talk To The Wind,6tVg2Wl9hVKMpHYcAl2V2M,https://i.scdn.co/image/ab67616d0000485146d124df5651c307aee255fd
0vdBVJST1n2SDLNRgf2pnp,King Crimson,I Talk To The Wind - From: The Young Person's Guide To King Crimson 1976,3mgF3kxMdHHQqRl6NMcctY,https://i.scdn.co/image/ab67616d000048518b63cf3064bfa1b920f6a374
162kBvlw3Mfq6By007opBy,King Crimson,We'll Let You Know,2Eaep5bQ8I6ygLtzVJ2CWz,https://i.scdn.co/image/ab67616d00004851fe02f6f7491e86036f2c246c
6rK909qZc5wthR1uJURdP6,King Crimson,Inner Garden I,3qgsEHi1mqPubkwk8UA33Q,https://i.scdn.co/image/ab67616d00004851932bf9ad4073f492ef7295c8
4DE611blA3XV70Vb6XIQLN,King Crimson,Indoor Games,7b8t2K8fvaZseDqeo19eGJ,https://i.scdn.co/image/ab67616d00004851ad5ef97dff124ecb34ae823d
