,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track,artist,msPlayed,datetime
0,0.399,0.356,10,-12.412,1,0.0341,0.522,2.39e-06,0.0722,0.127,134.223,audio_features,7DagYNOVPE8qJWOzbqVihi,spotify:track:7DagYNOVPE8qJWOzbqVihi,https://api.spotify.com/v1/tracks/7DagYNOVPE8qJWOzbqVihi,https://api.spotify.com/v1/audio-analysis/7DagYNOVPE8qJWOzbqVihi,323853,4,"The Chequered Flag (Dead or Alive) - Brussels Studio Recording, November, 1975; Steven Wilson Stereo Remix",Jethro Tull,6181,2023-12-24 16:29:00
0,0.579,0.197,10,-16.606,1,0.0353,0.633,0.00502,0.592,0.67,148.295,audio_features,7bo2X63U1NpKYMXV1mZFkq,spotify:track:7bo2X63U1NpKYMXV1mZFkq,https://api.spotify.com/v1/tracks/7bo2X63U1NpKYMXV1mZFkq,https://api.spotify.com/v1/audio-analysis/7bo2X63U1NpKYMXV1mZFkq,113427,3,Wond'ring Aloud,Jethro Tull,1514,2023-12-24 16:39:00
0,0.449,0.363,6,-16.969,0,0.0316,0.399,0.083,0.627,0.809,108.41,audio_features,1kpMm3RwArRGrvMeO6SKLc,spotify:track:1kpMm3RwArRGrvMeO6SKLc,https://api.spotify.com/v1/tracks/1kpMm3RwArRGrvMeO6SKLc,https://api.spotify.com/v1/audio-analysis/1kpMm3RwArRGrvMeO6SKLc,97960,4,Aigrette,Hatfield & The North,97960,2023-12-24 17:27:00
0,0.475,0.503,7,-12.176,1,0.0461,0.318,0.273,0.305,0.515,128.762,audio_features,7lM3PqFLTW7TUhzcskhrQW,spotify:track:7lM3PqFLTW7TUhzcskhrQW,https://api.spotify.com/v1/tracks/7lM3PqFLTW7TUhzcskhrQW,https://api.spotify.com/v1/audio-analysis/7lM3PqFLTW7TUhzcskhrQW,857733,4,Alleycat,Nucleus,857733,2023-12-24 17:42:00
0,0.515,0.373,9,-13.353,0,0.201,0.774,0.448,0.184,0.59,116.315,audio_features,2hXcY9sVxrIvQLRFib91s8,spotify:track:2hXcY9sVxrIvQLRFib91s8,https://api.spotify.com/v1/tracks/2hXcY9sVxrIvQLRFib91s8,https://api.spotify.com/v1/audio-analysis/2hXcY9sVxrIvQLRFib91s8,339040,3,Tengu - A Long-Nosed Goblin,Osamu Kitajima,339040,2023-12-24 17:49:00
0,0.399,0.433,5,-13.721,1,0.0389,0.549,0.873,0.141,0.556,88.993,audio_features,2oZsXSssUFo09ZdDH217ld,spotify:track:2oZsXSssUFo09ZdDH217ld,https://api.spotify.com/v1/tracks/2oZsXSssUFo09ZdDH217ld,https://api.spotify.com/v1/audio-analysis/2oZsXSssUFo09ZdDH217ld,479187,4,Blessed Relief,Frank Zappa,479186,2023-12-24 17:57:00
0,0.302,0.295,7,-15.126,1,0.0334,0.595,0.206,0.145,0.0809,94.88,audio_features,25oNNTlnJVPF7v59CFIdGi,spotify:track:25oNNTlnJVPF7v59CFIdGi,https://api.spotify.com/v1/tracks/25oNNTlnJVPF7v59CFIdGi,https://api.spotify.com/v1/audio-analysis/25oNNTlnJVPF7v59CFIdGi,472013,4,Taiyo the Sun,Osamu Kitajima,215375,2023-12-24 18:10:00
0,0.396,0.705,5,-11.895,0,0.0379,0.0701,0.303,0.212,0.775,104.651,audio_features,5dJS5oBmC6wvJ2nNzl5hNo,spotify:track:5dJS5oBmC6wvJ2nNzl5hNo,https://api.spotify.com/v1/tracks/5dJS5oBmC6wvJ2nNzl5hNo,https://api.spotify.com/v1/audio-analysis/5dJS5oBmC6wvJ2nNzl5hNo,390640,4,Black Market,Weather Report,390640,2023-12-24 18:16:00
0,0.422,0.624,10,-11.162,0,0.0409,0.0336,0.435,0.206,0.719,119.037,audio_features,5JrWS26keJ7AqXydk6g6ls,spotify:track:5JrWS26keJ7AqXydk6g6ls,https://api.spotify.com/v1/tracks/5JrWS26keJ7AqXydk6g6ls,https://api.spotify.com/v1/audio-analysis/5JrWS26keJ7AqXydk6g6ls,453693,4,Sorceress - Instrumental,Return To Forever,453693,2023-12-24 18:25:00
0,0.537,0.195,7,-17.58,1,0.0421,0.264,0.18,0.0974,0.389,58.245,audio_features,6c0ziyel6ZMTQ37vKRooGZ,spotify:track:6c0ziyel6ZMTQ37vKRooGZ,https://api.spotify.com/v1/tracks/6c0ziyel6ZMTQ37vKRooGZ,https://api.spotify.com/v1/audio-analysis/6c0ziyel6ZMTQ37vKRooGZ,549373,4,Vein Melter,Herbie Hancock,549373,2023-12-24 18:44:00
