,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track,artist,msPlayed,datetime
0,0.719,0.922,11,-6.091,1,0.0338,0.523,0.000163,0.0867,0.964,133.113,audio_features,7rWgGyRK7RAqAAXy4bLft9,spotify:track:7rWgGyRK7RAqAAXy4bLft9,https://api.spotify.com/v1/tracks/7rWgGyRK7RAqAAXy4bLft9,https://api.spotify.com/v1/audio-analysis/7rWgGyRK7RAqAAXy4bLft9,260893,4,Angel Eyes,John Hiatt,1174,2024-01-19 18:42:00
0,0.539,0.535,7,-6.421,1,0.0264,0.353,0.0,0.205,0.526,76.759,audio_features,64uHJm85U39Yp1MxFzJLpb,spotify:track:64uHJm85U39Yp1MxFzJLpb,https://api.spotify.com/v1/tracks/64uHJm85U39Yp1MxFzJLpb,https://api.spotify.com/v1/audio-analysis/64uHJm85U39Yp1MxFzJLpb,247440,4,Take Off Your Uniform,John Hiatt,1223,2024-01-19 18:42:00
0,0.642,0.798,4,-11.138,1,0.0372,0.144,0.000101,0.0815,0.921,90.6,audio_features,6ayQVhvuy6yRx19572hPMT,spotify:track:6ayQVhvuy6yRx19572hPMT,https://api.spotify.com/v1/tracks/6ayQVhvuy6yRx19572hPMT,https://api.spotify.com/v1/audio-analysis/6ayQVhvuy6yRx19572hPMT,239800,4,Memphis In The Meantime,John Hiatt,6636,2024-01-19 18:42:00
0,0.761,0.378,9,-10.547,1,0.0396,0.522,2.11e-05,0.108,0.559,118.36,audio_features,0LaL2Tn4NLirqafn4AiCkO,spotify:track:0LaL2Tn4NLirqafn4AiCkO,https://api.spotify.com/v1/tracks/0LaL2Tn4NLirqafn4AiCkO,https://api.spotify.com/v1/audio-analysis/0LaL2Tn4NLirqafn4AiCkO,184320,4,One More Night In Brooklyn,Justin Townes Earle,1269,2024-01-19 18:42:00
0,0.694,0.137,7,-18.289,1,0.0517,0.72,0.0123,0.107,0.479,140.388,audio_features,3Zu1jjPKxBLy3saXbmvNue,spotify:track:3Zu1jjPKxBLy3saXbmvNue,https://api.spotify.com/v1/tracks/3Zu1jjPKxBLy3saXbmvNue,https://api.spotify.com/v1/audio-analysis/3Zu1jjPKxBLy3saXbmvNue,291933,4,Feels Like Rain,John Hiatt,1023,2024-01-19 18:42:00
0,0.497,0.719,6,-9.397,1,0.0266,0.0613,0.0,0.411,0.547,95.769,audio_features,15MJ5NThPjj6xhPcts8MiY,spotify:track:15MJ5NThPjj6xhPcts8MiY,https://api.spotify.com/v1/tracks/15MJ5NThPjj6xhPcts8MiY,https://api.spotify.com/v1/audio-analysis/15MJ5NThPjj6xhPcts8MiY,255733,4,Love In Flames,John Hiatt,1283,2024-01-19 18:42:00
0,0.555,0.199,7,-11.997,1,0.0364,0.829,3.71e-06,0.125,0.541,106.207,audio_features,4QO2ZRJLsRbF0GpwRakFrj,spotify:track:4QO2ZRJLsRbF0GpwRakFrj,https://api.spotify.com/v1/tracks/4QO2ZRJLsRbF0GpwRakFrj,https://api.spotify.com/v1/audio-analysis/4QO2ZRJLsRbF0GpwRakFrj,198627,4,The Way We Make A Broken Heart,John Hiatt,1135,2024-01-19 18:42:00
0,0.673,0.771,9,-5.986,1,0.032,0.156,0.0,0.145,0.857,114.935,audio_features,3NDs8aUo95slKqqVNaBfpd,spotify:track:3NDs8aUo95slKqqVNaBfpd,https://api.spotify.com/v1/tracks/3NDs8aUo95slKqqVNaBfpd,https://api.spotify.com/v1/audio-analysis/3NDs8aUo95slKqqVNaBfpd,210267,4,Don't Know Much About Love,John Hiatt,210266,2024-01-19 18:42:00
0,0.564,0.859,0,-7.215,1,0.0461,0.131,4.91e-06,0.11,0.889,83.464,audio_features,2GyTrOs3AEAjy4MhV4a0kZ,spotify:track:2GyTrOs3AEAjy4MhV4a0kZ,https://api.spotify.com/v1/tracks/2GyTrOs3AEAjy4MhV4a0kZ,https://api.spotify.com/v1/audio-analysis/2GyTrOs3AEAjy4MhV4a0kZ,260733,3,Cry Love,John Hiatt,939,2024-01-19 18:42:00
0,0.738,0.654,5,-12.66,1,0.0291,0.115,0.0,0.101,0.897,134.55,audio_features,2SjEYBSenEHbHTpUX1joAi,spotify:track:2SjEYBSenEHbHTpUX1joAi,https://api.spotify.com/v1/tracks/2SjEYBSenEHbHTpUX1joAi,https://api.spotify.com/v1/audio-analysis/2SjEYBSenEHbHTpUX1joAi,217000,4,Slow Turning,John Hiatt,1064,2024-01-19 18:42:00
