,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track,artist,msPlayed,datetime
0,0.595,0.366,2,-11.848,1,0.0346,0.455,0.000479,0.11,0.362,106.604,audio_features,1zMfsMdwkSLvuqcCVEZGlT,spotify:track:1zMfsMdwkSLvuqcCVEZGlT,https://api.spotify.com/v1/tracks/1zMfsMdwkSLvuqcCVEZGlT,https://api.spotify.com/v1/audio-analysis/1zMfsMdwkSLvuqcCVEZGlT,256653,4,Long Time Gone - 2005 Remaster,"Crosby, Stills & Nash",251195,2023-12-12 17:52:00
0,0.595,0.366,2,-11.848,1,0.0346,0.455,0.000479,0.11,0.362,106.604,audio_features,1zMfsMdwkSLvuqcCVEZGlT,spotify:track:1zMfsMdwkSLvuqcCVEZGlT,https://api.spotify.com/v1/tracks/1zMfsMdwkSLvuqcCVEZGlT,https://api.spotify.com/v1/audio-analysis/1zMfsMdwkSLvuqcCVEZGlT,256653,4,Long Time Gone - 2005 Remaster,"Crosby, Stills & Nash",5612,2023-12-12 18:38:00
0,0.443,0.462,2,-9.74,1,0.0351,0.203,1.22e-06,0.142,0.447,177.096,audio_features,5DZPlkknHAi3JxcpMFlJ69,spotify:track:5DZPlkknHAi3JxcpMFlJ69,https://api.spotify.com/v1/tracks/5DZPlkknHAi3JxcpMFlJ69,https://api.spotify.com/v1/audio-analysis/5DZPlkknHAi3JxcpMFlJ69,129933,3,Factory Girl - 50th Anniversary Edition,The Rolling Stones,129933,2023-12-12 18:41:00
0,0.765,0.395,5,-10.75,0,0.0279,0.0774,0.00223,0.103,0.706,88.149,audio_features,715d8L5PwLgywoxlVZhXIT,spotify:track:715d8L5PwLgywoxlVZhXIT,https://api.spotify.com/v1/tracks/715d8L5PwLgywoxlVZhXIT,https://api.spotify.com/v1/audio-analysis/715d8L5PwLgywoxlVZhXIT,203160,4,Bluebird,Buffalo Springfield,275760,2023-12-12 18:46:00
0,0.186,0.546,2,-9.947,1,0.0373,0.451,0.0,0.201,0.533,177.526,audio_features,6QZfj7u76JcewmSARFVUmr,spotify:track:6QZfj7u76JcewmSARFVUmr,https://api.spotify.com/v1/tracks/6QZfj7u76JcewmSARFVUmr,https://api.spotify.com/v1/audio-analysis/6QZfj7u76JcewmSARFVUmr,152453,3,5D (Fifth Dimension),The Byrds,153426,2023-12-12 18:48:00
0,0.471,0.429,11,-12.141,0,0.0429,0.653,3.4e-05,0.251,0.641,88.229,audio_features,5YAPlTgnNDKmagJBccKaeR,spotify:track:5YAPlTgnNDKmagJBccKaeR,https://api.spotify.com/v1/tracks/5YAPlTgnNDKmagJBccKaeR,https://api.spotify.com/v1/audio-analysis/5YAPlTgnNDKmagJBccKaeR,194400,4,(Roamin' Thro' The Gloamin' With) 40.000 Headman,Traffic,194400,2023-12-12 18:52:00
0,0.558,0.744,4,-7.791,0,0.037,0.569,0.000148,0.24,0.54,128.949,audio_features,7vCAPGfk46iIyikreugUay,spotify:track:7vCAPGfk46iIyikreugUay,https://api.spotify.com/v1/tracks/7vCAPGfk46iIyikreugUay,https://api.spotify.com/v1/audio-analysis/7vCAPGfk46iIyikreugUay,186507,4,Coming into Los Angeles - Remastered,Arlo Guthrie,186506,2023-12-12 18:55:00
0,0.473,0.574,11,-8.189,0,0.032,0.695,0.0,0.509,0.499,74.056,audio_features,0f5N14nB8xi0p3o4BlVvbx,spotify:track:0f5N14nB8xi0p3o4BlVvbx,https://api.spotify.com/v1/tracks/0f5N14nB8xi0p3o4BlVvbx,https://api.spotify.com/v1/audio-analysis/0f5N14nB8xi0p3o4BlVvbx,356707,4,Ballad of a Thin Man,Bob Dylan,204313,2023-12-12 19:09:00
0,0.224,0.108,9,-20.575,1,0.0355,0.584,0.78,0.108,0.0395,139.105,audio_features,6SFuAN6efD4z0Grhy9sd9N,spotify:track:6SFuAN6efD4z0Grhy9sd9N,https://api.spotify.com/v1/tracks/6SFuAN6efD4z0Grhy9sd9N,https://api.spotify.com/v1/audio-analysis/6SFuAN6efD4z0Grhy9sd9N,157133,4,Taurus,Spirit,157133,2023-12-13 06:10:00
0,0.717,0.208,9,-13.36,0,0.0446,0.978,0.887,0.108,0.568,100.948,audio_features,0jKTbJXXD8TD6Ueu180u6A,spotify:track:0jKTbJXXD8TD6Ueu180u6A,https://api.spotify.com/v1/tracks/0jKTbJXXD8TD6Ueu180u6A,https://api.spotify.com/v1/audio-analysis/0jKTbJXXD8TD6Ueu180u6A,199493,4,Jam Man,Chet Atkins,199493,2023-12-13 06:13:00
0,0.525,0.524,0,-14.478,1,0.0961,0.0782,0.341,0.094,0.858,93.431,audio_features,3rFAKoUoTUtREl0ob24L4h,spotify:track:3rFAKoUoTUtREl0ob24L4h,https://api.spotify.com/v1/tracks/3rFAKoUoTUtREl0ob24L4h,https://api.spotify.com/v1/audio-analysis/3rFAKoUoTUtREl0ob24L4h,204640,4,A Song for Jeffrey - Mono,Jethro Tull,20248,2023-12-13 06:14:00
