,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,duration_ms,time_signature,track,artist,imgUrl,album_id,track_id
172,0.543,0.928,2,-4.393,1,0.0972,0.4,0.000536,0.271,0.596,172.064,audio_features,253898,4,Gotta Get A Grip - Kevin Parker Remix,Mick Jagger,https://i.scdn.co/image/ab67616d000048516be04cbda247b05121426f31,4bezZIiVuaBihszrMLU71c,5cLSJ1odxAMtjx1Lq08dUN
173,0.284,0.361,7,-11.377,1,0.032,0.57,0.000273,0.281,0.2,128.255,audio_features,217707,4,The Long Black Veil (with Mick Jagger),The Chieftains,https://i.scdn.co/image/ab67616d0000485170d1c9e3e37dffeec0c37de4,1rClywJWYiXuEZOpOqQMC0,3wh92qqZSbfLV7ii7Na7KW
174,0.579,0.838,9,-4.783,1,0.0273,0.000164,0.00682,0.0634,0.695,128.889,audio_features,214200,4,God Gave Me Everything,Mick Jagger,https://i.scdn.co/image/ab67616d00004851a196f9a07530702c5230a896,7r7cyCCx4eNRCqQxzk79Rt,020X55mawvXGASoewg14Dj
175,0.519,0.706,2,-4.898,1,0.0291,0.13,1.42e-05,0.0969,0.438,81.959,audio_features,224107,4,Brand New Set Of Rules,Mick Jagger,https://i.scdn.co/image/ab67616d00004851a196f9a07530702c5230a896,7r7cyCCx4eNRCqQxzk79Rt,1EHV5trOhhsAri0idGZNFT
176,0.516,0.764,2,-6.223,1,0.0366,0.0717,0.0,0.115,0.376,148.021,audio_features,224693,4,Secrets,Mick Jagger,https://i.scdn.co/image/ab67616d00004851ddd7bf3128402ae651f5f485,0xJYbTxo4DMYSHkC7iSqPB,2hQEACDSE8BEfKCsyDEhUq
177,0.726,0.871,9,-6.391,0,0.0358,0.124,0.0,0.0832,0.788,129.141,audio_features,298400,4,1/2 A Loaf,Mick Jagger,https://i.scdn.co/image/ab67616d00004851ddd7bf3128402ae651f5f485,0xJYbTxo4DMYSHkC7iSqPB,3IaMupH1kXVPQKlkuZvfQZ
178,0.98,0.846,8,-7.696,0,0.139,0.283,0.149,0.052,0.891,121.562,audio_features,271000,4,State of Shock,The Jacksons,https://i.scdn.co/image/ab67616d0000485188296836646095d581d0af4c,4nBMoo2lWA0tebq8iUWx1D,1sLTxLJzyoBJiPzv420KAx
179,0.687,0.69,11,-8.424,0,0.127,0.191,0.784,0.11,0.842,76.997,audio_features,262933,4,Trance Dance - DJ Krush Remix,Hamid Baroudi,https://i.scdn.co/image/ab67616d000048510c9d094f100a6ef0efc6bfed,3cf2fjjpKdFJDwg7Ah2Zas,7ySodE6xsDojBRjy7bGWmb
180,0.738,0.568,8,-5.341,1,0.186,0.0246,0.0,0.146,0.399,99.933,audio_features,159800,4,Maghreb,Raïna Raï,https://i.scdn.co/image/ab67616d000048516c5b39180fdf413565a06add,4TmTq4AWcssjcQTgEPgDZF,77Ny3UpDPweXYyhnaq4FG4
181,0.582,0.863,4,-8.755,0,0.0687,0.142,2.02e-06,0.776,0.641,118.952,audio_features,186693,4,Etoile filante - Pt. II,Djamel Laroussi,https://i.scdn.co/image/ab67616d000048515b7d5b0f81e4364a280b4a3a,5wAXR3qkrP7fmy5k8fP7lQ,27WuCp0YphT1tieFElg4jO
182,0.65,0.76,4,-8.459,0,0.0588,0.2,4.53e-05,0.14,0.71,122.636,audio_features,227520,4,Teacher - Single Mix; 2001 Remaster,Jethro Tull,https://i.scdn.co/image/ab67616d0000485104e75e2458078ed9b5ab0230,1meW8yyx76RPZebO32VwrB,1JrNAxiq1o57wxuI9aX6KJ
