,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track,artist,msPlayed,datetime
0,0.664,0.544,5,-14.346,0,0.0375,0.0211,0.89,0.0814,0.557,139.896,audio_features,6IQ8iTe3rrEOShw4IdoGd1,spotify:track:6IQ8iTe3rrEOShw4IdoGd1,https://api.spotify.com/v1/tracks/6IQ8iTe3rrEOShw4IdoGd1,https://api.spotify.com/v1/audio-analysis/6IQ8iTe3rrEOShw4IdoGd1,394160,4,Jungle Book Part 2,Dissidenten,497386,2024-01-16 21:52:00
0,0.425,0.261,3,-16.58,0,0.0364,0.907,0.933,0.134,0.112,120.128,audio_features,5VA0PgrgZOioEbX74DPQJS,spotify:track:5VA0PgrgZOioEbX74DPQJS,https://api.spotify.com/v1/tracks/5VA0PgrgZOioEbX74DPQJS,https://api.spotify.com/v1/audio-analysis/5VA0PgrgZOioEbX74DPQJS,233267,4,Sound Of Water,Dissidenten,43680,2024-01-16 21:53:00
0,0.58,0.731,3,-5.299,0,0.0293,0.0204,0.0,0.21,0.164,111.982,audio_features,5K9orY7STBuMQvDno0CqTz,spotify:track:5K9orY7STBuMQvDno0CqTz,https://api.spotify.com/v1/tracks/5K9orY7STBuMQvDno0CqTz,https://api.spotify.com/v1/audio-analysis/5K9orY7STBuMQvDno0CqTz,241427,4,Monsoon,Dissidenten,246146,2024-01-16 21:57:00
0,0.604,0.529,11,-10.967,0,0.0274,0.00765,0.829,0.0869,0.613,75.0,audio_features,7GraNeuFPEK0slh0AZ4Mgc,spotify:track:7GraNeuFPEK0slh0AZ4Mgc,https://api.spotify.com/v1/tracks/7GraNeuFPEK0slh0AZ4Mgc,https://api.spotify.com/v1/audio-analysis/7GraNeuFPEK0slh0AZ4Mgc,242400,4,All India Radio,Dissidenten,358800,2024-01-16 22:03:00
0,0.322,0.35,8,-17.662,1,0.169,0.784,0.755,0.305,0.318,133.472,audio_features,5B336wlNTfgK44sYi6v2b0,spotify:track:5B336wlNTfgK44sYi6v2b0,https://api.spotify.com/v1/tracks/5B336wlNTfgK44sYi6v2b0,https://api.spotify.com/v1/audio-analysis/5B336wlNTfgK44sYi6v2b0,62307,4,Gondagaon,Dissidenten,62306,2024-01-16 22:04:00
0,0.262,0.0463,7,-30.729,1,0.0405,0.541,0.888,0.112,0.0339,118.931,audio_features,2unKoOFXyUWFJJb9ThEoy5,spotify:track:2unKoOFXyUWFJJb9ThEoy5,https://api.spotify.com/v1/tracks/2unKoOFXyUWFJJb9ThEoy5,https://api.spotify.com/v1/audio-analysis/2unKoOFXyUWFJJb9ThEoy5,99669,4,Path Of Rhythm,Dissidenten,285106,2024-01-16 22:08:00
0,0.344,0.298,1,-13.008,1,0.0372,0.167,0.000461,0.1,0.0277,33.054,audio_features,5uMgccLJteT5jyiL0wOr5d,spotify:track:5uMgccLJteT5jyiL0wOr5d,https://api.spotify.com/v1/tracks/5uMgccLJteT5jyiL0wOr5d,https://api.spotify.com/v1/audio-analysis/5uMgccLJteT5jyiL0wOr5d,134120,4,Puja - Celebration,Dissidenten,134120,2024-01-16 22:11:00
0,0.55,0.932,0,-5.069,1,0.12,0.327,2.28e-06,0.402,0.793,132.941,audio_features,4hoJkNs20zi3rvUkYmY57m,spotify:track:4hoJkNs20zi3rvUkYmY57m,https://api.spotify.com/v1/tracks/4hoJkNs20zi3rvUkYmY57m,https://api.spotify.com/v1/audio-analysis/4hoJkNs20zi3rvUkYmY57m,196667,4,Light Of Love,Dissidenten,300586,2024-01-16 22:16:00
0,0.338,0.272,5,-14.915,1,0.0442,0.927,0.917,0.155,0.287,171.923,audio_features,6MlQvtc5ym48mWxeZJGWzk,spotify:track:6MlQvtc5ym48mWxeZJGWzk,https://api.spotify.com/v1/tracks/6MlQvtc5ym48mWxeZJGWzk,https://api.spotify.com/v1/audio-analysis/6MlQvtc5ym48mWxeZJGWzk,476173,3,Channels and Winds,Philip Glass,7116,2024-01-16 22:25:00
0,0.474,0.337,11,-14.667,0,0.0256,0.884,0.213,0.113,0.278,90.897,audio_features,1k3tnHRcKo5DUNdQYuYFnw,spotify:track:1k3tnHRcKo5DUNdQYuYFnw,https://api.spotify.com/v1/tracks/1k3tnHRcKo5DUNdQYuYFnw,https://api.spotify.com/v1/audio-analysis/1k3tnHRcKo5DUNdQYuYFnw,292933,4,The River,PJ Harvey,5815,2024-01-16 22:25:00
0,0.81,0.709,7,-8.201,1,0.0315,0.435,1.79e-05,0.202,0.912,132.089,audio_features,12qzAgiemuBRc7WfnHTjha,spotify:track:12qzAgiemuBRc7WfnHTjha,https://api.spotify.com/v1/tracks/12qzAgiemuBRc7WfnHTjha,https://api.spotify.com/v1/audio-analysis/12qzAgiemuBRc7WfnHTjha,348187,4,Abdul Majid,Philip Glass,533000,2024-01-16 22:25:00
0,0.634,0.856,2,-5.302,0,0.059,0.54,0.00142,0.111,0.779,100.041,audio_features,7hq7tGcCLjKVJGRdKaQnLe,spotify:track:7hq7tGcCLjKVJGRdKaQnLe,https://api.spotify.com/v1/tracks/7hq7tGcCLjKVJGRdKaQnLe,https://api.spotify.com/v1/audio-analysis/7hq7tGcCLjKVJGRdKaQnLe,255973,4,Ya Habibi,Toufic Farroukh,255973,2024-01-16 22:30:00
0,0.725,0.887,0,-8.586,1,0.0338,0.313,0.918,0.0692,0.964,130.005,audio_features,3uc4jERfYr5oNMLj6B8eRQ,spotify:track:3uc4jERfYr5oNMLj6B8eRQ,https://api.spotify.com/v1/tracks/3uc4jERfYr5oNMLj6B8eRQ,https://api.spotify.com/v1/audio-analysis/3uc4jERfYr5oNMLj6B8eRQ,341120,4,The Girl from Gypsy Moon,Toufic Farroukh,341120,2024-01-16 22:35:00
