id,artist,track,album_id,imgUrl
7CZiDzGVjUssMSOXrDNYHL,The Beatles,Ticket To Ride - Remastered 2009,0PT5m6hwPRrpBwIHVnvbFX,https://i.scdn.co/image/ab67616d00004851e3e3b64cea45265469d4cafa
0ESIjVxnDnCDaTPo6sStHm,The Beatles,Till There Was You - Remastered 2009,1aYdiJk6XKeHWGO3FzHHTr,https://i.scdn.co/image/ab67616d00004851608a63ad5b18e99da94a3f73
788U1Sqej9M6c4iikuDGxO,The Beatles,I've Just Seen A Face - Remastered 2009,0PT5m6hwPRrpBwIHVnvbFX,https://i.scdn.co/image/ab67616d00004851e3e3b64cea45265469d4cafa
3KfbEIOC7YIv90FIfNSZpo,The Beatles,In My Life - Remastered 2009,50o7kf2wLwVmOTVYJOTplm,https://i.scdn.co/image/ab67616d00004851ed801e58a9ababdea6ac7ce4
2B4Y9u4ERAFiMo13XPJyGP,The Beatles,"Here, There And Everywhere - Remastered 2009",3PRoXYsngSwjEQWR5PsHWR,https://i.scdn.co/image/ab67616d0000485128b8b9b46428896e6491e97a
52dm9op3rbfAkc1LGXgipW,The Rolling Stones,Wild Horses - 2009 Mix,29m6DinzdaD0OPqWKGyMdz,https://i.scdn.co/image/ab67616d00004851a1d9c9969f2a7ed27e449a3c
3Is1ugfPG3hdFWTq15nNBV,The Rolling Stones,Love Is Strong - Remastered 2009,3oyjbpNQs5Qm5DNVJW4AlV,https://i.scdn.co/image/ab67616d000048516ae46a4f011bf6a249d6582f
1uBsu3PbD2909UBIfEMLvK,The Rolling Stones,Jumpin' Jack Flash,10OB4Z0KBJtCayAX7Gk57m,https://i.scdn.co/image/ab67616d00004851a21d071d80f1d2c1059f64fb
6lFZbCc7pn6Lme1NP7qQqQ,The Rolling Stones,You Can't Always Get What You Want,4l4u9e9jSbotSXNjYfOugy,https://i.scdn.co/image/ab67616d000048512af30c881bb23cfb82a8cf99
6KOtheMY0KN4s9TrQHr9It,The Rolling Stones,She's A Rainbow,0ZVb7BLZuvx9ZZebd9i3lu,https://i.scdn.co/image/ab67616d00004851b98f37642280c7edad050c5e
44xykY61s1aKsgf40A5cyI,The Rolling Stones,Mother's Little Helper,1MaP82K4mOoGYW5Ej0eUyM,https://i.scdn.co/image/ab67616d00004851398405e5bda507a0e50e6d2d
4tXr9v3K7nWW1aebWqR1B7,The Rolling Stones,Anybody Seen My Baby? - Remastered 2009,6lbQFxYqubkf4GbEtXARE7,https://i.scdn.co/image/ab67616d000048513d26c9756e724d9b5e0b20d1
34OzAaQeAWlFnZBSyUAtRh,The Rolling Stones,Loving Cup,1D0PTM0bg7skufClSUOxTP,https://i.scdn.co/image/ab67616d00004851ad5b5ed2169d072a44e98a31
1GcVa4jFySlun4jLSuMhiq,The Rolling Stones,Angie - Remastered 2009,6iVOz2hudE6dv5Yrcsw2c9,https://i.scdn.co/image/ab67616d00004851fa3c4374e2cdd3cc1636c79b
1HK0gVdcEwTUaJzCTNhjA3,B.B. King,Paying The Cost To Be The Boss,3fIftPnF4eb7gkg2lFS1TV,https://i.scdn.co/image/ab67616d000048510cb9e4d49412fce4ae730004
74mpiRPDd2rFeBR1Yl60I3,The Rolling Stones,Ventilator Blues,5U4dnRZsfW8NmwBBkELFPh,https://i.scdn.co/image/ab67616d00004851ba42bfcfeed19018b1f8cab8
3oJtUnnt5uYPtzulIbLw3D,The Rolling Stones,Dead Flowers - 2009 Mix,29m6DinzdaD0OPqWKGyMdz,https://i.scdn.co/image/ab67616d00004851a1d9c9969f2a7ed27e449a3c
1FRP8d6l2jm3DS5f78ZrhK,The Rolling Stones,Route 66,0bJMFJ2XQwpO5nKTrYdUtX,https://i.scdn.co/image/ab67616d00004851e5bd9c16543752620815ebdc
7EXgO1bRnEArE58rtrgMWB,The Rolling Stones,Street Fighting Man - 50th Anniversary Edition,6OHri5qNxwCdVSdyCslspd,https://i.scdn.co/image/ab67616d0000485144934a06d21864415376f5f2
3hJLKtTpgct9Y9wKww0BiR,The Rolling Stones,Miss You - Remastered,1Jv2AqzhgsduUik2p4k3cS,https://i.scdn.co/image/ab67616d0000485105c7aec05eabf142cc33b936
1QLr0zOu6fv5hLEHOwdr21,The Rolling Stones,Let's Spend The Night Together,36BIYdP4WtviD9Ngqc4SK5,https://i.scdn.co/image/ab67616d000048518260863a56134f1516913d7f
6GpoY3iuHJY7fcyonia60B,The Rolling Stones,Tumbling Dice - 2009 Mix,6GMdkihFQDTjdxCPvv0Xiw,https://i.scdn.co/image/ab67616d00004851acb7f7039bbdfd01efcd148b
