track_id,artist,track,album_id,imgUrl
2zbGXr2XCcRR40R7ymEENc,Jefferson Airplane,Embryonic Journey,6lPb7Eoon6QPbscWbMsk6a,https://i.scdn.co/image/ab67616d000048512dac7a01676ddb36c1d0ec05
0QdagWnOd3GzMCBu57efgp,Fleetwood Mac,Oh Well (Pt. 1) - 2013 Remaster,5Z83CVFqNYSIoItAZVaHeR,https://i.scdn.co/image/ab67616d000048515a10f1da120bc2b20d33e0cd
0gWvVB4bGvADocoPMEDy3K,The Doors,The Crystal Ship,1jWmEhn3ggaL6isoyLfwBn,https://i.scdn.co/image/ab67616d000048515b96a8c5d61be8878452f8f1
2kkvB3RNRzwjFdGhaUA0tz,Derek & The Dominos,Layla,5iIWnMgvSM8uEBwXKsPcXM,https://i.scdn.co/image/ab67616d00004851fbcaf7402f38faac27610efc
0uco0wQkB909zpPlHvu5Cc,Jimi Hendrix,Bold as Love,3uFZf8rykoHo7XMIQVYW6r,https://i.scdn.co/image/ab67616d0000485119dcd95d28b63d10164327f2
07vnf48eTU0sAkK1hC9DfE,Raïna Raï,Douane,72GDaCyamCxMqvrPduf5VH,https://i.scdn.co/image/ab67616d00004851863ad31910348daef65d4a16
3FHUEfqdmg43VE6GIzwrbM,Raïna Raï,Taila,4TmTq4AWcssjcQTgEPgDZF,https://i.scdn.co/image/ab67616d000048516c5b39180fdf413565a06add
5aRPd2JbKCnTNNFXaSTy0Z,Nass El Ghiwane,Allah ya moulana - Dieu ô notre Seigneur,43S3rQh0r9yxCrraFFSO2n,https://i.scdn.co/image/ab67616d00004851573336a23772c6e522afb060
0W7SzJd9YNDiEUxxeKGdTU,Frank Zappa,Apostrophe',3EbtMJsHbspjhN6Xd4plIu,https://i.scdn.co/image/ab67616d0000485185b05f4bb3c88cf252f96b68
2Y8uiyLgsCO6f2x4w1mGyA,Bill Frisell,Messin' with the Kid,1ueFFIHSmbmmi6gkNbo8BJ,https://i.scdn.co/image/ab67616d00004851f18f7dffe508a81c10a35870
2d1pPFNNqy4dis7aGvSL3V,Bill Frisell,Blues Dream,18xitvUgA9dKLcuHwdpaGU,https://i.scdn.co/image/ab67616d000048517cdd6f9467138299867958e2
6tMRsQ9nrR0KTdj7q04TuB,Jethro Tull,To Cry You a Song - 2001 Remaster,1meW8yyx76RPZebO32VwrB,https://i.scdn.co/image/ab67616d0000485104e75e2458078ed9b5ab0230
6DrRLGXrssVpYSrnMerAhO,Jethro Tull,Nothing Is Easy,5c0NFeQON726s0zzipHA1d,https://i.scdn.co/image/ab67616d00004851ccd3d82f414ce5133b865beb
5RsfvV4oSchEPH6t93C1lR,Jethro Tull,Mother Goose,0NGM3Ftwjw0dLNpAowmz3x,https://i.scdn.co/image/ab67616d00004851be6e758fe8300a72eceddb8f
2KfjGQ3MjL1PlRsf2xUH5s,Frank Zappa,Muffin Man,0u4GsfF3p8pt7BVSHIZq2N,https://i.scdn.co/image/ab67616d00004851eb96fc36f934940af34f59f9
3SPc6lCdejju6kmm18u9Xb,Strawberry Alarm Clock,Unwind With The Clock,4NbLTe8YqLFwys4SmkEofd,https://i.scdn.co/image/ab67616d00004851668eef9a15023a800efdbbba
0bZBhrIAHltWuNJdYvgar7,Buffalo Springfield,Everydays - Live,7hez8jibf36E66GHpFkWz7,https://i.scdn.co/image/ab67616d0000485108332e0b0aba8467f891d76f
3jBCwLVmmfKUH8321N4bdd,The West Coast Pop Art Experimental Band,Shifting Sands,36qtMdwzo4s7lisavSgorV,https://i.scdn.co/image/ab67616d00004851235e3d74d4b132775876ec3e
6oRNqIZzxNdpYlappmxrGR,The Byrds,Have You Seen Her Face,33puYJ2y5qANDenRmL8BS1,https://i.scdn.co/image/ab67616d00004851bbf32b8829a362793c64afb5
3PFOfOdzObTrsIA7pTkJWN,The Byrds,So You Want to Be a Rock 'N' Roll Star,33puYJ2y5qANDenRmL8BS1,https://i.scdn.co/image/ab67616d00004851bbf32b8829a362793c64afb5
4WLFwsgF6aJSjstHF4nFWa,Buffalo Springfield,Flying on the Ground Is Wrong,3PkdGRruLnJ9zCtANiDrpB,https://i.scdn.co/image/ab67616d00004851d231bd1716b71b6444e25f89
