,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track,artist,msPlayed,datetime
0,0.489,0.723,11,-5.636,1,0.029,0.000844,0.866,0.0645,0.416,81.572,audio_features,1tNwAjyfDSQvFeY5JKDw9b,spotify:track:1tNwAjyfDSQvFeY5JKDw9b,https://api.spotify.com/v1/tracks/1tNwAjyfDSQvFeY5JKDw9b,https://api.spotify.com/v1/audio-analysis/1tNwAjyfDSQvFeY5JKDw9b,298202,4,Pish,The Brian Jonestown Massacre,298202,2024-01-12 15:58:00
0,0.653,0.887,4,-5.5,0,0.0444,0.0174,3.99e-05,0.132,0.738,100.977,audio_features,1WjHI9D4syoy6rhrkNjzzZ,spotify:track:1WjHI9D4syoy6rhrkNjzzZ,https://api.spotify.com/v1/tracks/1WjHI9D4syoy6rhrkNjzzZ,https://api.spotify.com/v1/audio-analysis/1WjHI9D4syoy6rhrkNjzzZ,283160,3,Trigue Lycee,Khaled,283160,2024-01-12 16:02:00
0,0.486,0.758,10,-9.914,0,0.0356,0.0254,0.809,0.0769,0.56,83.076,audio_features,3fQm5lL6UCCbWaWfffLIsv,spotify:track:3fQm5lL6UCCbWaWfffLIsv,https://api.spotify.com/v1/tracks/3fQm5lL6UCCbWaWfffLIsv,https://api.spotify.com/v1/audio-analysis/3fQm5lL6UCCbWaWfffLIsv,327920,4,Anenome,The Brian Jonestown Massacre,24378,2024-01-12 16:03:00
0,0.82,0.842,8,-8.691,1,0.064,0.295,0.00951,0.138,0.664,120.004,audio_features,6i6YMptoPsOKMwIp5PiKNX,spotify:track:6i6YMptoPsOKMwIp5PiKNX,https://api.spotify.com/v1/tracks/6i6YMptoPsOKMwIp5PiKNX,https://api.spotify.com/v1/audio-analysis/6i6YMptoPsOKMwIp5PiKNX,282293,4,Afrobahia,Hamid Baroudi,1910,2024-01-12 16:03:00
0,0.752,0.662,0,-10.561,0,0.0362,0.335,1.9e-06,0.0775,0.694,92.025,audio_features,2PeDoi5nGBPabIsf1IPrIO,spotify:track:2PeDoi5nGBPabIsf1IPrIO,https://api.spotify.com/v1/tracks/2PeDoi5nGBPabIsf1IPrIO,https://api.spotify.com/v1/audio-analysis/2PeDoi5nGBPabIsf1IPrIO,270627,4,Mandela,Salif Keita,270626,2024-01-12 16:07:00
0,0.597,0.477,9,-11.617,1,0.0329,0.178,0.925,0.244,0.553,120.162,audio_features,4u6GyIz4WAypAK4HpAJnpB,spotify:track:4u6GyIz4WAypAK4HpAJnpB,https://api.spotify.com/v1/tracks/4u6GyIz4WAypAK4HpAJnpB,https://api.spotify.com/v1/audio-analysis/4u6GyIz4WAypAK4HpAJnpB,260459,4,Already Gone,Wooden Shjips,260458,2024-01-12 16:12:00
0,0.725,0.887,0,-8.586,1,0.0338,0.313,0.918,0.0692,0.964,130.005,audio_features,3uc4jERfYr5oNMLj6B8eRQ,spotify:track:3uc4jERfYr5oNMLj6B8eRQ,https://api.spotify.com/v1/tracks/3uc4jERfYr5oNMLj6B8eRQ,https://api.spotify.com/v1/audio-analysis/3uc4jERfYr5oNMLj6B8eRQ,341120,4,The Girl from Gypsy Moon,Toufic Farroukh,341120,2024-01-12 16:17:00
0,0.638,0.704,0,-8.385,0,0.0339,0.0321,0.00668,0.355,0.759,102.996,audio_features,4yRoOTpF9JkjyGcyQa7Y7r,spotify:track:4yRoOTpF9JkjyGcyQa7Y7r,https://api.spotify.com/v1/tracks/4yRoOTpF9JkjyGcyQa7Y7r,https://api.spotify.com/v1/audio-analysis/4yRoOTpF9JkjyGcyQa7Y7r,349933,4,Streets of Algiers,Hamid Baroudi,117904,2024-01-12 16:19:00
0,0.619,0.717,1,-11.773,1,0.045,0.215,0.832,0.0767,0.766,169.659,audio_features,5o63XXSCnte2qrXQfaFqLn,spotify:track:5o63XXSCnte2qrXQfaFqLn,https://api.spotify.com/v1/tracks/5o63XXSCnte2qrXQfaFqLn,https://api.spotify.com/v1/audio-analysis/5o63XXSCnte2qrXQfaFqLn,944133,4,Pili Pili,Jasper van't Hofs Pili Pili,2282,2024-01-12 16:30:00
0,0.167,0.0119,0,-35.394,1,0.0406,0.907,0.876,0.291,0.033,83.358,audio_features,7eL6tWkbOpqDY9Cw7eugsO,spotify:track:7eL6tWkbOpqDY9Cw7eugsO,https://api.spotify.com/v1/tracks/7eL6tWkbOpqDY9Cw7eugsO,https://api.spotify.com/v1/audio-analysis/7eL6tWkbOpqDY9Cw7eugsO,381640,4,"Nocturnes, CD 98: I. Nuages",Claude Debussy,17633,2024-01-12 16:30:00
