endTime,artistName,trackName,msPlayed
2023-12-07 14:50,Focus,Janis,188106
2023-12-07 15:01,Rush,La Villa Strangiato,574733
2023-12-07 15:07,Focus,Focus III,364240
2023-12-07 15:17,Yes,Siberian Khatru - 2003 Remaster,532946
2023-12-07 15:29,Frank Zappa,Sleep Dirt,2573
2023-12-07 15:29,Soft Machine,Joy Of A Toy,3072
2023-12-07 15:29,Iron Butterfly,Most Anything You Want,133373
2023-12-07 15:32,Gong,Where Have All The Flowers Gone - Remastered 2018,187560
2023-12-07 15:39,Focus,Hocus Pocus - Extended Version,402560
2023-12-07 15:45,East Of Eden,Nymphenburger - Remastered 1985,374906
2023-12-07 15:46,Miles Davis,"Spanish Key (feat. Wayne Shorter, Bennie Maupin, John McLaughlin, Chick Corea, Joe Zawinul, Dave Holland & Harvey Brooks)",1283
2023-12-07 15:46,Ginger Baker,Brain Damage,1405
2023-12-07 15:46,East Of Eden,Gum Arabic,7777
2023-12-07 16:02,Colosseum,The Valentyne Suite: January's Search / February's Valentyne / The Grass Is Always Greener,1012960
2023-12-07 16:07,Jean-Luc Ponty,New Country,188640
2023-12-07 16:07,Sadja,Sadja,4849
2023-12-07 16:10,Premiata Forneria Marconi,Worlds Beyond - English version,197560
2023-12-07 16:22,Colosseum,Elegy,146494
2023-12-07 20:45,Miles Davis,Honky Tonk,33750
2023-12-07 20:51,Faces,Debris,10648
2023-12-07 20:51,Hailu Mergia,Wede Harer Guzo,93886
2023-12-07 20:59,Hailu Mergia,Wede Harer Guzo,301883
2023-12-07 21:01,Hailu Mergia,Yefkir Engurguro - Mixed,77976
2023-12-07 21:02,Ry Cooder,How Can a Poor Man Stand Such Times and Live?,10519
2023-12-07 21:02,Buena Vista Social Club,Bodas de Oro (feat. Rubén González & Jesús Ramos),45928
2023-12-07 21:02,Peter Green,Slabo Day,4196
2023-12-07 21:03,The Notting Hillbillies,Run Me Down,25613
2023-12-07 21:03,Henry Kaiser,Ants and Chimps,2835
2023-12-07 21:03,Peter Green,In the Skies,1335
2023-12-07 21:16,Mike Bloomfield,Stop,144469
2023-12-08 06:10,Mike Bloomfield,Stop,116075
2023-12-08 06:12,Corey Harris,Coahoma,109066
2023-12-08 06:15,Traffic,(Roamin' Thro' The Gloamin' With) 40.000 Headman,139037
2023-12-08 06:16,Jimi Hendrix,"Changes - Live At Fillmore East, 1970 / 50th Anniversary",2130
2023-12-08 06:16,Big Brother & The Holding Company,I Need a Man to Love,817
2023-12-08 06:20,The Doors,Maggie M'Gill,264333
2023-12-08 06:24,Jimi Hendrix,Manic Depression,222226
2023-12-08 06:28,Arlo Guthrie,Coming into Los Angeles - Remastered,8719
2023-12-08 06:28,Cream,Tales Of Brave Ulysses,1583
2023-12-08 06:28,Quicksilver Messenger Service,Pride Of Man,248066
2023-12-08 06:33,Buffalo Springfield,Bluebird,275760
2023-12-08 06:36,Spirit,Fresh-Garbage,191000
2023-12-08 06:36,Pink Floyd,Free Four - 2011 Remastered Version,21006
2023-12-08 06:40,Jimi Hendrix,Drifting,229120
2023-12-08 06:44,Quicksilver Messenger Service,Who Do You Love - Pt. 1,212733
2023-12-08 06:48,"Crosby, Stills & Nash",Long Time Gone - 2005 Remaster,256653
2023-12-08 06:52,Country Joe & The Fish,Flying High,161000
2023-12-08 07:06,Jimi Hendrix,Third Stone From The Sun,279207
2023-12-08 08:11,Herbie Mann,Memphis Underground,429000
2023-12-08 08:14,Ultimate Spinach,(BALLAD OF) THE HIP DEATH GODDESS,7723
2023-12-08 08:14,King Crimson,Book Of Saturday,175720
2023-12-08 08:15,The Style Council,Mick's Blessings,76800
2023-12-08 08:15,Blind Faith,Presence Of The Lord,4034
2023-12-08 08:19,Chet Atkins,Jam Man,199493
2023-12-08 08:22,Frank Zappa,Cletus Awreetus-Awrightus,176453
2023-12-08 08:25,Jean-Luc Ponty,New Country,188640
2023-12-08 08:25,Santana,Song of the Wind,692
2023-12-08 08:30,Yusef Lateef,Buddy and Lou,192466
2023-12-08 08:34,Howlin' Wolf,Smokestack Lightnin',6481
2023-12-08 08:34,Premiata Forneria Marconi,Generale,258000
2023-12-08 08:38,Tangerine Dream,Cinnamon Road - 1995 Remaster,238933
2023-12-08 08:39,John McLaughlin,Peace One,15440
2023-12-08 08:45,Miles Davis Quintet,It Never Entered My Mind,323186
2023-12-08 08:49,Béla Fleck and the Flecktones,The Sinister Minister,276986
2023-12-08 08:54,Masayoshi Takanaka,蜃気楼の島へ,218000
2023-12-08 09:02,Yusef Lateef,Like It Is - Remastered,452533
2023-12-08 09:07,Masayoshi Takanaka,トーキョーレギー,260333
2023-12-08 09:07,Mose Allison,The Seventh Son,5262
2023-12-08 09:11,The Rolling Stones,Mess It Up,243687
2023-12-08 09:15,Creedence Clearwater Revival,Run Through The Jungle,185106
2023-12-08 09:20,Pearl Jam,Immortality - Remastered,318066
2023-12-08 09:24,The Rolling Stones,Happy,184626
2023-12-08 09:27,Buffalo Springfield,Mr. Soul,172400
2023-12-08 09:28,King Crimson,Peace - A Theme,75103
2023-12-08 09:50,King Crimson,Book Of Saturday,158934
2023-12-08 11:32,Jethro Tull,Cross-Eyed Mary,1359
2023-12-08 11:32,The Moody Blues,The Story In Your Eyes,176573
2023-12-08 11:32,Jethro Tull,We Used to Know,11961
2023-12-08 11:37,Jethro Tull,Really Don't Mind / See There a Son Is Born - Steven Wilson Stereo Remix,300037
2023-12-08 11:38,Yes,Long Distance Runaround - 2003 Remaster,3335
2023-12-08 11:38,Jethro Tull,Cheap Day Return,80880
2023-12-08 11:38,Ten Years After,Here They Come - 2004 Remaster,12416
2023-12-08 11:39,Yes,"I've Seen All Good People: a. Your Move, b. All Good People - 2003 Remaster",1615
